Data;Loja;Faturamento;Pedidos;Ticket Médio
01/02/2023;Montenegro;R$ 55.948,57;1399;R$ 39,99
01/02/2023;Shopping Total;R$ 48.738,83;1218;R$ 40,02
01/02/2023;Campo Bom;R$ 48.259,78;1206;R$ 40,02
01/02/2023;Estância Velha;R$ 40.680,68;1071;R$ 38,00
01/03/2023;Caxias do Sul;R$ 128.478,28;2424;R$ 53,00
01/03/2023;Novo Hamburgo;R$ 88.832,21;1813;R$ 49,00
01/03/2023;Barra Shopping;R$ 78.838,03;1516;R$ 52,00
01/03/2023;São Leopoldo;R$ 78.824,79;1971;R$ 39,99
01/03/2023;Bento Gonçalves;R$ 60.864,02;1522;R$ 39,99
01/03/2023;Shopping Total;R$ 60.182,44;1505;R$ 39,99
01/03/2023;Sapiranga;R$ 58.512,69;1330;R$ 44,00
01/03/2023;Montenegro;R$ 52.020,93;1301;R$ 39,99
01/03/2023;Campo Bom;R$ 51.589,66;1290;R$ 39,99
01/03/2023;Estância Velha;R$ 46.230,41;1156;R$ 39,99
01/03/2023;Canoas;R$ 22.604,87;565;R$ 40,01
01/04/2023;Caxias do Sul;R$ 132.170,64;2812;R$ 47,00
01/04/2023;Novo Hamburgo;R$ 94.378,13;2359;R$ 40,01
01/04/2023;Barra Shopping;R$ 84.831,17;1414;R$ 60,00
01/04/2023;São Leopoldo;R$ 74.857,51;1871;R$ 40,01
01/04/2023;Montenegro;R$ 60.754,93;856;R$ 71,00
01/04/2023;Shopping Total;R$ 58.254,57;1456;R$ 40,01
01/04/2023;Sapiranga;R$ 58.055,34;1451;R$ 40,01
01/04/2023;Bento Gonçalves;R$ 55.433,79;1027;R$ 54,00
